Text,company,startdate,salary,exp,about,skills_required,Page_URL
Performance Marketer,"
                        InstaAstro                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,50,000                                ",0-1 years,"
    As a member of the performance marketing team, you will own the execution and manage Instaastro's performance marketing campaigns on Google ads (including UAC, Search, App Install), Facebook Ads (including retargeting & AAA campaigns), and other digital inventories. You will be working in a fast-paced environment which will require you to take initiative and end-to-end ownership of work. You will be working in a fast-paced environment which will require you to take initiatives with complete ownership and drive execution.

Key responsibilities:

1. Manage all digital campaigns, from ideation to media planning to optimization and analysis
2. Drive marketing programs that are highly targeted basis the content affinity of relevant segmented audience cohorts
3. Manage all efforts and goals on digital paid media: SEM, Display, FB Ads, etc.
4. Establish processes for monitoring, measurement, and optimization through institutionalizing performance marketing metrics that correlate to business impact
5. Be responsible for achieving the marketing channels' short-term and long-term goals
6. Proficiently work on all the execution from account structuring/restructuring, campaign creation, ad-copy ideas, creative suggestions, deciding best bid strategies, running A/B experiments, etc. as per Google's best practices
7. Manage and keep track of ROI and compile daily, weekly, and monthly reports for campaigns
8. Understand the business and work towards achieving its KPIs
9. Keep up to date with industry updates and experiments

What you should have: 

We're looking for people with a hustler mindset, who are curious, eager to learn new things, with a passion for innovation, and work to be a little better every single day. We're looking for someone dynamic with the below qualities in generous quantities to perform well in this role.

Requirements:

1. 6 months of experience in managing Google ads/ Facebook ads for apps
2. Intermediate-level knowledge of spreadsheet programs
3. Intermediate-level analytical skills
4. Hands-on experience with MMPs such as AppsFlyer/ Branch/ Adjust
5. Understanding of Play Store & Apple Store analytics and app ecosystem
6. Working knowledge of Google  Analytics  4","
                    Content Marketing
                    Digital Advertising
                    Digital Marketing
                    Email Marketing
                    Google Analytics
                    Search Engine Marketing (SEM)
                    Search Engine Optimization (SEO)
            ",https://internshala.com/job/detail/fresher-performance-marketer-job-in-noida-at-instaastro1708336172
Education Counselor,"
                        OckyPocky                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,50,000                                ",0-2 years,"
    Key responsibilities:

1. Working on the outbound, inbound calls and chat processes
2. Converting telephonic/web inquiries into final admissions
3. Achieving business targets through effective counseling, as per timelines
4. Following up for lead generations through tele-calling, WhatsApp, email, etc.

Who can apply:

1. Good communication skills & disposition
2. Self-motivated & confident approach
3. Assertive & hardworking
4. Flexible on timings
5. Talented & willing to learn new things","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Hindi Proficiency (Spoken)
                    Marketing
                    MS-Excel
                    Sales
                    Salesforce
            ",https://internshala.com/job/detail/fresher-education-counselor-job-in-multiple-locations-at-ockypocky1708340317
General Management Executive,"
                        People Smart                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 4,00,000                                ",0-2 years,"
    Key responsibilities: 

1 Comprehensive event planning: Develop and execute a detailed plan for workshops, webinars, and national conferences on CSR, ESG, and sustainability. Collaborate with industry professionals to create engaging content aligned with the latest trends and regulations
2 Logistics coordination: Coordinate all logistics for events, including scheduling, speaker invitations, technology requirements, and participant registration. Lead the planning and execution of national conferences, and audio-visual needs, generating sponsorship and resource mobilization for self-sustaining events
3. Stakeholder collaboration: Liaise with key stakeholders, sponsors, and partners to ensure successful collaboration and participation in workshops, webinars, and conferences. Work closely with the national CSR network and industry experts for content development
4. Strategic marketing: Develop marketing strategies to promote events, collaborating with the marketing team to create promotional materials such as newsletters, social media content, and press releases. Monitor and evaluate the effectiveness of marketing campaigns
5. Participant engagement and feedback: Foster a collaborative and interactive environment during workshops and conferences, encouraging networking and knowledge-sharing among participants. Gather feedback to make necessary improvements for future events and enhance the overall participant experience
6. Budget management: Develop and manage budgets for workshops, webinars, and conferences, ensuring cost-effectiveness in all aspects of event planning. Monitor expenses to stay within budget constraints and optimize resource allocation","
                    Email Marketing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Event Management
                    Sales
            ",https://internshala.com/job/detail/fresher-general-management-executive-job-in-multiple-locations-at-people-smart1708342953
Business Development Executive - B2B Sales,"
                        ConsultBae                    ","
                                Starts Immediately
                            ","
                                    ₹ 4,00,000 - 5,00,000                                ",1-3 years,"
    Key responsibilities:

1. Deliver on monthly and quarterly revenue targets/business plans
2. Use the Hunting, Farming, and Harvesting approach to manage the B2B customer pipeline
3. Manage operations, and maintain relationships & thereby grow business revenue with existing B2B customers
4. Approach, convert, and develop new prospective B2B customers in order to sell the organization's products & services
5. Ensure TAT is maintained with each B2B customer as per agreed terms with each one of them
6. Ensure timely follow-up on payment receivables with B2B customers and ensure no overdue
7. Ensure margins are maintained for each B2B customer to achieve desired profitability for the organization
8. Handle other roles & businesses along with existing roles as & when required by the company

Requirements:

1. Graduate/MBA in Sales & Marketing from a recognized institution with 1-3 years experience in B2B sales/equivalent sales roles
2. Prior experience in handling B2B customers in the Automotive domain is a plus
3. Must be able to travel regularly as & when needed both intra/intercity
4. Excellent interpersonal, completive selling technique, negotiation skills, business acumen, organizational skills, managing complexity, written and oral communication skills
5. Ability to work and thrive in a start-up environment
6. Ability to multi-task 
7. Proficiency in Microsoft Office","
                    Sales
            ",https://internshala.com/job/detail/business-development-executive-b2b-sales-job-in-multiple-locations-at-consultbae1708341381
Associate Video Editor,"
                        TVM E-Learning                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 4,00,000                                ",1-4 years,"
    Key responsibilities: 

1. Edit raw footage for online courses
2. Collaborate on visual styles with content creators
3. Assist in incorporating graphics and animations
4. Maintain branding consistency and high video quality
5. Manage and organize video assets
6. Stay updated on industry trends for continuous improvement
7. Contribute creative ideas in brainstorming sessions","
                    Adobe After Effects
                    Adobe Illustrator
                    Adobe Photoshop
                    Adobe Premiere Pro
                    Final Cut Pro
                    Video Editing
                    Video Making
            ",https://internshala.com/job/detail/remote-associate-video-editor-job-at-tvm-e-learning1708406873
Inside Sales Associate,"
                        Mastork Technologies                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,00,000                                ",0-2 years,"
    Key responsibilities:

1. Identify and target potential clients for B2B partnerships through prospecting activities, client visits, and cold calling
2. Acquire new stakeholders i.e. brands, marketing agencies, etc. to expand the company's client base
3. Conduct meetings (online), emails, and networking activities by interacting with the major brands to initiate contact for potential partnerships and find the synergies on a long-term basis
4. Ensure a seamless onboarding experience for clients, addressing any concerns or queries they may have
5. Regularly build and maintain strong, long-lasting client relationships with potential or existing partners, understanding their needs and objectives
6. Conduct effective negotiations and discussions with them, aiming to secure profitable and sustainable business partnership deals","
                    Client Relationship
                    Effective Communication
                    English Proficiency (Spoken)
                    MS-Excel
                    Negotiation & Problem-solving
                    Sales
                    Sales pitch
            ",https://internshala.com/job/detail/fresher-inside-sales-associate-job-in-multiple-locations-at-mastork-technologies1708343338
Junior Social Media Marketing Manager,"
                        Printila Services Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,00,000                                ",0-5 years,"
    Key responsibilities: 

1. Develop social media campaigns and define their KPIs
2. Update content across various social media channels
3. Engage with followers and customers
4. Resolve customer queries
5. Utilize social media marketing tools like Hootsuite and Sprout Social
6. Keep an eye on the latest social media trends
7. Monitor SEO and traffic
8. Analyze campaign data and web traffic metrics
9. Strengthen relationships with social media influencers
10. Optimize content coming from content developers
11. Communicate with stakeholders and senior management","
                    Adobe Illustrator
                    Adobe Photoshop
                    Creative Writing
                    Digital Marketing
                    Email Marketing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Facebook Marketing
                    Figma
                    Instagram Marketing
                    Social Media Marketing
            ",https://internshala.com/job/detail/remote-junior-social-media-marketing-manager-job-at-printila-services-private-limited1708406334
Computer Application Mentor (Malayalam Speakers Only),"
                        Hikewise                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,00,001                                ",0-5 years,"
    Key responsibilities:

1. Provide online mentoring to students pursuing BCA courses, offering guidance and support throughout their academic journey
2. Create and deliver engaging online lessons, utilizing your expertise in computer application to facilitate a dynamic learning environment
3. Develop high-quality content for the BCA course, incorporating interactive elements to enhance student engagement and understanding
4. Assist students in understanding complex psychological concepts, conducting research, and improving their writing skills
5. Utilize Google Workspace to collaborate with students and provide timely feedback on assignments and assessments
6. Conduct regular assessments to evaluate student progress and provide constructive feedback to enhance their learning experience
7. Foster strong relationships with students, using your interpersonal skills to ensure their engagement and success in their studies

Requirements:

1. UG or PG in Computer Application
2. Proficiency in spoken English and Malayalam, facilitating effective communication with students
3. Strong knowledge and understanding of the subject, with the ability to serve as a subject matter expert
4. Experience in online teaching and content writing, enabling you to deliver engaging and informative lessons
5. Proficiency in MS Word, MS Excel, and MS PowerPoint to create and deliver high-quality course content","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Google Workspace
                    Malayalam
                    Malayalam Proficiency (Spoken)
                    MS-Excel
                    MS-PowerPoint
                    MS-Word
                    Online Teaching
                    Subject Matter Expert (SME)
                    Teaching
            ",https://internshala.com/job/detail/remote-computer-application-mentor-malayalam-speakers-only-job-at-hikewise1708406752
Ui/UX Figma Expert,"
                        Maayasthra                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 7,20,000                                ",1 year,"
    Key responsibilities:

1. Developing effective visuals for various digital platforms
2. Designing and formatting newsletters, websites, logos, banners, and more
3. Working closely with the team to ensure quality assurance across all projects
4. Brainstorming ideas to create original and creative visuals
5. Utilizing various applications to optimize the content for the digital space
6. Exploring new trends and technologies to stay ahead in the industry

Who can apply:

1. Proficiency in Figma is a must. Added bonus: PS & AI
2. Must have a strong eye for detail 
3. Must be eager to join a collaborative team of professionals","
                    Adobe Illustrator
                    Adobe Photoshop
                    Figma
            ",https://internshala.com/job/detail/remote-ui-ux-figma-expert-job-at-maayasthra1708407792
Corporate Sales Associate,"
                        UFaber Edutech                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 5,00,000                                ",0-5 years,"
    Key responsibilities:

1. Brainstorming with the business development team to create a new project and sales strategy
2. Cold calling; making multiple outbound calls to potential clients; closing sales and working with the client through the closing process
3. Collaborating with management on sales goals, planning, and forecasting; maintaining short- and long-term business development plans
4. Maintaining a pipeline of all sales administration using CRM software
5. Working on targets and under pressure as this is a hardcore sales profile

We are looking for somebody who is a hardcore businessman/woman and loves sales numbers. Here is a brief list of things that we expect from you:

1. Proven track record of overachieving any target/goal
2. Work hard and party harder
3. Great communication and convincing skills
4. You believe that you can sell anything to anybody
5. You understand the dynamics and process of telesales

What we offer you: The list is long but if you can associate yourself with what you have read so far, you can expect the following from us -

1. A salary that you can't get in your current company
2. Incentives and perks that you can't imagine
3. A work culture that doesn't feel like work
4. Opportunities to utilize your full potential","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/remote-corporate-sales-associate-job-at-ufaber-edutech1708409981
Associate Software Developer (Angular/React),"
                        NextEdge Labs                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,00,001                                ",1-2 years,"
    Your day-to-day tasks will revolve around crafting impressive web pages and ensuring smooth functionality.

Key responsibilities:

1. Work on task management: Stay organized and on top of your tasks, ensuring timely completion and reporting progress
2. Work on tech exploration: Dive into new technologies and incorporate them into your projects to keep our solutions fresh and innovative
3. Work on code wizardry: Turn design concepts into reality by writing code using HTML, CSS, and JavaScript in the Angular framework
4. Work on web page creation: Create eye-catching and responsive web pages that captivate users and deliver seamless experiences

Skills & requirements:

1. Angular 7.0 mastery: Proficiency in Angular 7.0 for building powerful web applications
2. Bootstrap brilliance: Familiarity with Bootstrap to create sleek and consistent designs
3. CSS wizardry: Strong grasp of CSS to style and arrange web elements flawlessly
4. JavaScript Jedi: A solid understanding of JavaScript to add interactivity and dynamism to your creations
5. HTML hero: Skillful in HTML for structuring and presenting web content effectively
6. Node.js navigators: Basic understanding of Node.js to collaborate on full-stack projects
7. Adaptability: Embrace change and learn new skills as our projects evolve
8. Problem-solving prowess: Tackle challenges head-on and find creative solutions
9. Detail-oriented: Sweat the small stuff to ensure every aspect of your work is top-notch
10. Communication champions: Keep the virtual lines of communication open and clear
11. Team player: Collaborate seamlessly with our diverse team, even from a distance

Note: It will have a probation period of 6 months and during the probation period the salary will be    10,000 per month.","
                    Angular 7.0
                    Bootstrap
                    CSS
                    Dart
                    Flutter
                    HTML
                    JavaScript
                    MongoDB
                    Node.js
            ",https://internshala.com/job/detail/remote-associate-software-developer-angular-react-job-at-nextedge-labs1708410253
Business Development Executive,"
                        EduMENTOR Educational Services Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,50,000                                ",1-3 years,"
    Key responsibilities:

1. Being a mentor and guide, who potential learners can look up to for career advice
2. Assisting students with information related to different programs and acting as an advisor for their well-being by guiding them in the right direction for their educational advancement
3. Counseling potential learners, helping them plan their career path and understanding how EduMentor can catalyze their career
4. Carrying weekly enrolment/revenue and collection targets
5. Establishing the uniqueness and effectiveness of EduMentor's model of blended learning
6. Owning the complete sales closing life cycle for leads assigned to you. This includes making phone/video calls/home counseling/F2F counseling, product demonstration, sales closing and post-sales relationship management
7. Maintaining a detailed database of all the interactions on the CRM with the leads and providing constant feedback to the marketing team on lead quality
8. Searching for new clients, finding new potential services to offer, and helping the company expand to new markets
9. Connecting with tuition centers and schools, and connecting with them for future collaboration and tie-ups
10. Conducting seminars/webinars regarding the course and program selection and also preparing follow-ups and monitoring progress for all the clients assigned
11. Preparing and entering data into the software and ensuring its accuracy
12. Resolving discrepancies in information and obtaining further information for incomplete documents

What are your deliverables/KPIs?

1. Minimum of 100+ dials every day 
2. 2 hours of talk time on an average per day
3. Weekly revenue targets to be met consistently
4. Candidates who would be comfortable taking home counseling (Traveling reimbursement is given by the company)","
                    Client Relationship
                    Email Marketing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Hindi Proficiency (Spoken)
                    Marketing
                    MS-Excel
                    Sales
                    Sales pitch
            ",https://internshala.com/job/detail/business-development-executive-job-in-delhi-at-edumentor-educational-services-private-limited1707713700
Business Development Executive,"
                        OckyPocky                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,50,000                                ",0-2 years,"
    Key responsibilities:

1. Provide a description of the products that we sell and guide via telephone to register for the product
2. Ensure all the data is recorded and updated in Excel
3. Build strong connections and engage with new and existing clients

Who can apply:

1. Candidates having experience will be a big plus
2. Excellent organizational and time management skills
3. Someone who is enthusiastic and can demonstrate our product to potential customers

Note:

1. Job location: Saket
2. 6 days working
3. Working hours: 8-9 hours","
                    Effective Communication
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    MS-Excel
                    Sales
                    Salesforce
                    Sales pitch
            ",https://internshala.com/job/detail/fresher-business-development-executive-job-in-delhi-at-ockypocky1707718636
Corporate Sales Executive,"
                        LetsGoLegal Advisory Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,60,000                                ",1-3 years,"
    As a Corporate Sales Executive at StartupFino, you will have the opportunity to showcase your exceptional sales skills and contribute to our growth in the legal advisory industry. We are looking for a dynamic individual who is not only fluent in English both spoken and written, but also possesses a strong aptitude for sales pitch. 

Key responsibilities:

1. Generate new leads and build a strong pipeline through cold calling, networking, and referrals.
2. Conduct in-depth research to identify potential corporate clients and understand their legal needs.
3. Pitch our services to potential clients, highlighting the unique value proposition and addressing their concerns.
4. Develop and maintain strong relationships with existing clients to maximize customer satisfaction and retention.
5. Collaborate with the marketing team to create effective sales collateral and campaigns.
6. Utilize MS-Excel and MS-Office tools to track sales activities, analyze data, and generate reports.
7. Stay updated on industry trends and competitor activities to ensure we maintain a competitive edge.

Join our team and be part of a fast-paced, entrepreneurial environment where your expertise and passion for sales will be valued. With our high-quality legal advisory solutions and your persuasive abilities, together we can elevate StartupFino to new heights in the corporate sector. Apply now and join us on this exciting journey!","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    MS-Excel
                    MS-Office
                    Sales
                    Sales pitch
            ",https://internshala.com/job/detail/corporate-sales-executive-job-in-delhi-at-letsgolegal-advisory-private-limited1707796626
Business Development Manager,"
                        Next You Labs                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,50,000 - 6,00,000                                ",1-5 years,"
    Key responsibilities:

1. Develop and implement strategic business development plans to achieve company growth targets and expand market share.
2. Identify new business opportunities and potential partnerships to drive revenue growth and enhance the company's market position.
3. Build and maintain strong relationships with existing and prospective clients, understanding their needs and providing tailored solutions.
4. Conduct market research and competitor analysis to stay informed about industry trends, customer preferences, and emerging technologies.
5. Collaborate with cross-functional teams to develop innovative product ideas and enhance existing offerings based on customer feedback and market demands.
6. Lead and negotiate contract agreements with clients, ensuring favourable terms and conditions for the company.
7. Act as a brand ambassador, representing Next You Labs at industry events, conferences, and seminars, and fostering relationships with key stakeholders.

This job Profile has a probation period of 1 month in which you will get a basic pay of Rs-10,000 INR per Month. Post probation you will get a package of (2,50,000 - 6,00,000) CTC Per Annum depending on your performance","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/business-development-manager-job-in-multiple-locations-at-next-you-labs1707812533
Graphic Designer,"
                        Petrichor Investment Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1 year,"
    Key responsibilities: 
 
1. Design graphics and layouts for digital/print materials
2. Create compelling content for social media platforms
3. Create Political designs and edits
4. Maintain brand consistency across channels
5. Collaborate with cross-functional teams","
                    Adobe After Effects
                    Adobe Illustrator
                    Adobe Photoshop
                    Adobe Premiere Pro
                    UI & UX Design
            ",https://internshala.com/job/detail/graphic-designer-job-in-vijayawada-at-petrichor-investment-private-limited1707815035
Content Developer (English),"
                        Super One Intelligence Vidyarthi Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,00,000                                ",1-5 years,"
    Key responsibilities:

1. Develop and create content for websites, blogs, and other digital media platforms
2. Research and write creative and engaging content in accordance with brand guidelines
3. Create content that speaks to Super One Intelligence Vidyarthi Private Limited's target audience and resonates with them
4. Edit and proofread content to ensure accuracy and good quality
5. Monitor content against brand guidelines and make necessary changes
6. Track and analyze content performance metrics to measure success and identify improvement areas
7. Collaborate with other teams such as design, marketing, and product teams to produce high-quality content

Required:

1. Motivated and talented content writer with a background in writing, blogging, and creative writing
2. The ideal candidate should have strong written and spoken English proficiency, the ability to write creative and engaging content and a passion for blogging
3. Should have excellent writing skills, strong research skills, attention to detail, creativity, and a basic understanding of SEO","
                    Blogging
                    Canva
                    Content Writing
                    Creative Writing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/content-developer-english-job-in-noida-at-super-one-intelligence-vidyarthi-private-limited1707885422
Associate Video Editor,"
                        Saroj Education Group                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 4,00,000                                ",0-2 years,"
    Key responsibilities: 

1. Capture studio-quality photographs and video
2. Work both on and off-site
3. Manage and oversee all technical aspects of video recording and editing  
4. Work with our creative teammates
5. Regularly collaborate with the marketing team
6. Follow the company's brand guidelines
7. Present to senior management
8. Develop an overall video brand messaging strategy
9. Produce quality writing that connects with target audiences, boosts engagement, and enhances brand awareness
10. Promote Company  mission and vision through clear, compelling content
11. Generate pitches based on current events and market trends
12. Increase website traffic by following SEO best practices
13. Complete writing assignments within project specifications and deadlines
14. Market products and services through blog posts, ebooks, email, and more","
                    Adobe Illustrator
                    Adobe Photoshop
                    Adobe Premiere Pro
                    Animation
                    Content Marketing
                    Digital Art
                    Final Cut Pro
                    Video Editing
                    Video Making
            ",https://internshala.com/job/detail/fresher-associate-video-editor-job-in-delhi-at-saroj-education-group1707883419
Junior Social Media Marketing Manager,"
                        Akrati Jewels Incorporation                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,20,000                                ",1-2 years,"
    Key responsibilities: 

1. Manage the company's social media accounts and content
2. Come up with campaign ideas
3. Monitor various social media platforms, such as Facebook and Instagram
4. Provide suggestions to management for improving customer experience on social platforms and internal processes
5. Assist in creating performance reports
6. Conduct interviews with social media executives and interns","
                    Digital Marketing
                    Facebook Marketing
                    Instagram Marketing
                    Social Media Marketing
            ",https://internshala.com/job/detail/junior-social-media-marketing-manager-job-in-jaipur-at-akrati-jewels-incorporation1707895613
Graphic Designer,"
                        Akrati Jewels Incorporation                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,40,000                                ",1-2 years,"
    Key responsibilities:

1. Designing website content, banners, logo, and landing pages
2. Creating unique and eye-catching Instagram posts and stories
3. Creating video graphics to make videos more engaging
4. Collecting data and organizing and presenting it in a way that it is easy to grab and understand
5. Working on content creation","
                    Adobe After Effects
                    Adobe Creative Suite
                    Adobe Illustrator
                    Adobe Indesign
                    Adobe Photoshop
                    Adobe Photoshop Lightroom CC
                    Adobe Premiere Pro
                    CorelDRAW
                    Video Editing
            ",https://internshala.com/job/detail/graphic-designer-job-in-jaipur-at-akrati-jewels-incorporation1707899402
Graphic Designer,"
                        D-Vivid Consultant                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,00,000                                ",0-2 years,"
    Key responsibilities:

1. Conceptualize and design graphics for digital platforms including social media, websites, and online advertisements
2. Develop print materials such as brochures, flyers, posters, and other marketing collateral
3. Create eye-catching visuals for point-of-sale displays, packaging, and other retail materials
4. Collaborate with the marketing team to develop cohesive branding and messaging strategies
5. Ensure that all designs adhere to brand guidelines and maintain consistency in style and tone
6. Stay up-to-date with industry trends and incorporate innovative design techniques into our work
7. Develop engaging and creative video content, specifically ""reels"" - short, attention-grabbing videos often used on social media platforms
8. Create graphic designs for various purposes such as branding, sales, and marketing collaterals
9. Develop social media assets, Point of Purchase (POP), and Out-of-Home (OOH) artworks
10. Demonstrate proficiency in understanding design principles, compositions, and layouts for digital platforms such as social media, Google Ads, and websites, as well as retail environments
11. Shape brand standards and ensure branding consistency across both B2B and B2C channels for all content produced","
                    Adobe Illustrator
                    Adobe Photoshop
                    Audio Editing
                    CorelDRAW
                    Design Thinking
                    UI & UX Design
                    Video Editing
                    Video Making
            ",https://internshala.com/job/detail/fresher-graphic-designer-job-in-ahmedabad-at-d-vivid-consultant1707907963
Product Lister (Website),"
                        Blazels Infinity Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,40,000                                ",0-5 years,"
    Blazels Infinity Private Limited is seeking a talented and enthusiastic product lister to join our e-commerce team. If you wish to work in the corporate world and have basic knowledge of MS Excel and have a decent proficiency in English(writing), then this is the perfect opportunity for you!

Key responsibilities:

1. Manage and maintain an extensive product database by creating accurate and compelling product listings on our website
2. Optimize product listings by conducting thorough research on market trends, competitors, and customer demands to ensure maximum visibility and sales conversion
3. Collaborate with cross-functional teams, such as marketing and design, to create captivating product descriptions, images, and videos that effectively communicate the value and uniqueness of our products
4. Continuously monitor and update product listings based on customer feedback, industry insights, and emerging trends to enhance customer satisfaction and drive sales growth
5. Utilize MS Excel to efficiently organize and track product data, pricing information, inventory levels, and promotional campaigns
6. Conduct regular quality checks and ensure accurate product information, pricing, and availability to ensure a seamless customer experience
7. Stay up-to-date with the latest e-commerce and digital marketing trends, tools, and techniques to optimize product listings and drive overall business growth

Join our dynamic team and unleash your potential as a Product Lister at Blazels Infinity Private Limited.","
                    English Proficiency (Written)
                    MS-Excel
            ",https://internshala.com/job/detail/product-lister-website-job-in-jaipur-at-blazels-infinity-private-limited1707914584
Digital Marketing Associate,"
                        Blazels Infinity Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 4,00,000                                ",0-5 years,"
    Blazels Infinity Private Limited is seeking an enthusiastic and talented digital marketing associate to join our dynamic marketing team. If you have a passion for all things digital, including SEO, social media marketing, content creation, and marketing strategies, then this is the perfect opportunity for you. 

Key responsibilities:

1. Develop and implement effective digital marketing campaigns across various platforms, including social media, email, and search engines, to increase brand awareness and drive customer acquisition
2. Optimize website content and structure for improved search engine rankings through extensive keyword research, on-page optimization, and link-building techniques
3. Manage and grow our social media presence on platforms such as Facebook, Instagram, LinkedIn, and Pinterest, creating engaging and shareable content that aligns with our brand and target audience
4. Utilize email marketing tools to create and execute successful email campaigns, including personalized content, A/B testing, and analytics tracking to optimize performance
5. Conduct in-depth market analysis and research to identify trends, opportunities, and consumer insights, providing valuable input for marketing strategies, product development, and campaign planning
6. Collaborate with cross-functional teams, including graphic designers and content creators, to develop compelling marketing materials, including blog posts, infographics, videos, and advertisements
7. Monitor and analyze campaign performance metrics, such as click-through rates, conversion rates, and ROI, using analytics tools to generate insightful reports and make data-driven recommendations for continuous improvement","
                    Content Marketing
                    Creative Writing
                    Digital Marketing
                    Email Marketing
                    English Proficiency (Written)
                    Facebook Marketing
                    Instagram Marketing
                    LinkedIn Marketing
                    Market Analysis
                    Pinterest Marketing
                    Search Engine Marketing (SEM)
                    Search Engine Optimization (SEO)
                    Social Media Marketing
            ",https://internshala.com/job/detail/digital-marketing-associate-job-in-jaipur-at-blazels-infinity-private-limited1707914888
Associate Visual Designer,"
                        Yocket                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 5,00,000                                ",1-3 years,"
    Key responsibilities:

1. Craft captivating banners, flyers, and posters that captivate our audience and drive engagement
2. Develop visually stunning PowerPoint presentations that effectively communicate key messages
3. Collaborate with the senior designer to produce eye-catching brochures that showcase our programs and services
4. Assist in the creation of thumbnails for our engaging video content, ensuring our online presence is as compelling as our offerings","
                    Adobe After Effects
                    Adobe Creative Suite
                    Adobe Illustrator
                    Adobe Photoshop
                    Figma
            ",https://internshala.com/job/detail/associate-visual-designer-job-in-mumbai-at-yocket1707973071
Junior Merchandiser - Furniture/Hardgoods,"
                        MHLondon                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 4,00,000                                ",1-3 years,"
    MH London is seeking a dynamic and passionate junior merchandiser for furniture/hard goods to join our team! If you possess exceptional skills in MS Excel, MS Office, and MS PowerPoint, along with effective communication and proficiency in spoken and written English, we want to hear from you! 

As a junior merchandiser for furniture/hardgoods, you will have the opportunity to work closely with our talented team to drive the success of our business. You will be responsible for conducting market research, identifying trends, and analyzing customer preferences to ensure we offer the most desirable products to our valued customers. 

Key responsibilities:

1. Collaborate with the team to create compelling product assortments and merchandise displays that align with customer demands and market trends
2. Conduct regular market research to identify emerging trends, competitor analysis, and consumer preferences, providing valuable insights for decision-making
3. Utilize MS Excel and other tools to organize and maintain accurate product data and inventory levels, ensuring seamless operations and availability of products
4. Prepare comprehensive reports and presentations using MS PowerPoint, summarizing sales performance, market analysis, and recommendations for improvement
5.. Support in building and maintaining strong vendor relationships, negotiating favorable terms, and coordinating timely delivery of products
6. Prepare sample review reports and share feedback with vendors
7. Prepare an estimated landing cost sheet for order placement
8. Follow up with factories for drop tests on shortlisted samples
9. Coordinate with the QA team to attend the Pre-Production Meetings (PPM)","
                    Effective Communication
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    MS-Excel
                    MS-Office
                    MS-PowerPoint
            ",https://internshala.com/job/detail/junior-merchandiser-furniture-hardgoods-job-in-noida-at-mhlondon1707973494
